time,signal,drowsiness,delta,theta,alpha,beta
19:43:38,15,0,5,3,2,36
19:43:39,15,0,5,1,7,30
19:43:39,15,0,4,2,3,43
19:43:40,15,1,15,2,20,33
19:43:40,15,0,16,6,8,40
19:43:41,15,0,19,3,6,20
19:43:42,15,0,10,2,5,32
19:43:42,15,0,9,3,3,25
19:43:43,15,0,10,5,6,30
19:43:44,15,0,2,2,9,33
19:43:44,15,0,17,3,8,42
19:43:45,15,0,17,8,9,47
19:43:45,15,0,7,6,5,52
19:43:46,15,0,12,6,2,35
19:43:47,15,0,7,5,3,27
19:43:47,15,0,11,3,4,21
19:43:48,15,1,4,6,13,37
19:43:49,15,0,10,3,14,44
19:43:49,15,0,19,6,2,33
19:43:50,15,0,9,2,11,40
19:43:51,15,0,13,4,2,35
19:43:51,15,0,6,3,3,40
19:43:52,15,0,3,5,4,49
19:43:52,15,0,4,2,6,31
19:43:53,15,0,21,4,5,36
19:43:54,15,0,19,2,11,39
19:43:54,15,0,17,3,6,34
19:43:55,15,0,11,1,8,41
19:43:56,15,0,7,3,9,44
19:43:56,15,0,6,1,5,18
19:43:57,15,0,13,5,5,37
19:43:57,15,0,9,5,3,55
19:43:58,15,0,7,3,11,44
19:43:59,15,0,16,3,2,39
19:43:59,15,0,13,2,6,30
19:44:00,15,0,6,6,4,36
19:44:01,15,0,2,4,8,26
19:44:01,15,0,11,2,3,46
19:44:02,15,0,31,4,7,32
19:44:02,15,0,8,1,7,52
19:44:03,15,3,6,6,14,35
19:44:04,15,0,4,4,9,45
19:44:04,15,0,7,3,2,28
19:44:05,15,0,4,3,10,39
19:44:06,15,0,16,1,9,32
19:44:06,15,0,34,2,6,27
19:44:07,15,0,13,4,18,39
19:44:08,15,0,16,4,2,28
19:44:08,15,0,10,2,4,35
19:44:09,15,0,9,2,2,44
19:44:09,15,0,3,5,6,32
19:44:10,15,0,17,0,3,43
19:44:11,15,0,23,4,2,41
19:44:11,15,0,10,5,5,38
19:44:12,15,0,22,5,3,30
19:44:13,15,0,9,4,1,44
19:44:13,15,0,7,3,2,46
19:44:14,15,0,4,3,9,36
19:44:14,15,0,15,3,12,42
19:44:15,15,0,12,4,6,49
19:44:16,15,0,19,2,1,41
19:44:16,15,0,12,4,4,35
19:44:17,15,0,8,4,5,31
19:44:18,15,0,2,2,3,44
19:44:18,15,0,11,3,3,34
19:44:19,15,2,17,9,9,41
19:44:20,15,0,20,2,10,33
19:44:20,15,0,15,3,4,42
19:44:21,15,0,5,6,8,43
19:44:21,15,0,7,3,7,34
19:44:22,15,0,5,1,5,23
19:44:23,15,0,16,2,6,50
19:44:23,15,0,14,1,5,40
19:44:24,15,0,17,2,2,37
19:44:25,15,0,7,5,3,54
19:44:25,15,0,4,2,4,53
19:44:26,15,0,6,3,3,30
19:44:26,15,0,12,5,1,30
19:44:27,15,0,14,3,3,47
19:44:28,15,0,14,2,6,45
19:44:28,15,0,17,3,3,24
19:44:29,15,0,11,5,10,36
19:44:30,15,0,6,1,6,43
19:44:30,15,0,18,3,6,34
19:44:31,15,0,13,2,3,36
19:44:31,15,0,20,5,5,46
19:44:32,15,0,25,3,2,29
19:44:33,15,0,15,3,12,35
19:44:33,15,1,12,6,5,26
19:44:34,15,1,7,3,12,26
19:44:35,15,4,5,1,17,17
19:44:35,15,0,2,4,4,43
19:44:36,15,0,13,3,9,52
19:44:36,15,3,14,1,27,30
19:44:37,15,0,17,3,5,23
19:44:38,15,0,20,3,11,30
19:44:38,15,0,10,6,4,28
19:44:39,15,0,4,1,5,37
19:44:40,15,0,13,3,4,36
19:44:40,15,8,26,7,14,23
19:44:41,15,0,15,3,4,43
19:44:42,15,0,12,6,5,36
19:44:42,15,0,10,3,4,43
19:44:43,15,0,2,4,4,46
19:44:43,15,0,9,2,3,45
19:44:44,15,0,12,2,5,38
19:44:45,15,6,24,6,18,28
19:44:45,15,0,11,1,6,31
19:44:46,15,0,8,1,3,50
19:44:47,15,0,11,4,5,24
19:44:47,15,8,9,8,2,19
19:44:48,15,0,10,4,1,27
19:44:49,15,1,18,2,18,32
19:44:49,15,0,15,6,9,37
19:44:50,15,0,18,2,4,40
19:44:50,15,0,11,3,11,40
19:44:51,15,0,11,3,4,34
19:44:52,15,0,4,1,4,37
19:44:52,15,2,4,5,5,23
19:44:53,15,3,20,10,7,38
19:44:54,15,0,18,4,5,35
19:44:54,15,0,13,5,2,32
19:44:55,15,0,8,4,9,36
19:44:55,15,0,13,1,9,23
19:44:56,15,0,8,3,7,39
19:44:57,15,0,4,2,3,29
19:44:57,15,0,17,3,8,41
19:44:58,15,0,9,2,9,42
19:44:59,15,0,10,3,4,53
