timestamp,channel,sample_idx,value_uv
23:05:05.614,0013,2,763.8
23:05:05.614,0013,3,-972.325
23:05:05.614,0013,4,-972.325
23:05:05.614,0013,5,-779.95
23:05:05.614,0013,6,118.275
23:05:05.614,0013,7,122.075
23:05:05.614,0013,8,491.15
23:05:05.614,0013,9,-972.8
23:05:05.614,0013,10,304.0
23:05:05.614,0013,11,-648.85
23:05:05.618,0013,0,-958.55
23:05:05.618,0013,1,401.375
23:05:05.618,0013,2,763.8
23:05:05.618,0013,3,-972.325
23:05:05.618,0013,4,-972.325
23:05:05.618,0013,5,-779.0
23:05:05.618,0013,6,-241.775
23:05:05.618,0013,7,732.925
23:05:05.618,0013,8,-470.25
23:05:05.618,0013,9,-955.7
23:05:05.618,0013,10,-303.05
23:05:05.618,0013,11,-491.15
23:05:05.721,0013,0,-958.55
23:05:05.721,0013,1,401.375
23:05:05.721,0013,2,763.8
23:05:05.721,0013,3,-972.325
23:05:05.721,0013,4,-972.325
23:05:05.721,0013,5,-776.625
23:05:05.721,0013,6,-713.45
23:05:05.721,0013,7,252.225
23:05:05.721,0013,8,505.875
23:05:05.721,0013,9,856.9
23:05:05.721,0013,10,-790.4
23:05:05.721,0013,11,-130.15
23:05:05.755,0013,0,-958.55
23:05:05.755,0013,1,401.375
23:05:05.755,0013,2,763.8
23:05:05.755,0013,3,-972.325
23:05:05.755,0013,4,-971.375
23:05:05.755,0013,5,-382.375
23:05:05.755,0013,6,-484.025
23:05:05.755,0013,7,137.275
23:05:05.755,0013,8,-957.6
23:05:05.755,0013,9,814.625
23:05:05.755,0013,10,-37.05
23:05:05.755,0013,11,587.1
23:05:05.806,0013,0,-958.55
23:05:05.806,0013,1,401.375
23:05:05.806,0013,2,763.8
23:05:05.806,0013,3,-972.325
23:05:05.806,0013,4,-972.325
23:05:05.806,0013,5,-773.3
23:05:05.806,0013,6,769.025
23:05:05.806,0013,7,-469.775
23:05:05.806,0013,8,504.45
23:05:05.806,0013,9,-959.025
23:05:05.806,0013,10,-789.925
23:05:05.806,0013,11,-56.05
23:05:05.864,0013,0,-958.55
23:05:05.864,0013,1,522.975
23:05:05.864,0013,2,763.8
23:05:05.864,0013,3,-972.325
23:05:05.864,0013,4,-970.9
23:05:05.864,0013,5,-65.55
23:05:05.864,0013,6,-215.65
23:05:05.864,0013,7,-240.825
23:05:05.864,0013,8,-166.725
23:05:05.864,0013,9,-792.3
23:05:05.864,0013,10,963.3
23:05:05.864,0013,11,-214.225
23:05:05.924,0013,0,-958.55
23:05:05.924,0013,1,522.975
23:05:05.924,0013,2,763.8
23:05:05.924,0013,3,-972.325
23:05:05.924,0013,4,-972.325
23:05:05.924,0013,5,-769.975
23:05:05.924,0013,6,408.5
23:05:05.924,0013,7,856.425
23:05:05.924,0013,8,-202.825
